filename,target,prediction,is_correct,cer(%)
word_1.png,bada,bada,True,0.0
word_2.png,Developer,Developer,True,0.0
word_3.png,Day,Day,True,0.0
word_4.png,HHONORS,HHONORS,True,0.0
word_5.png,HILTON,itN,False,83.33
word_6.png,WORLDWIDE,omDE,False,77.78
word_7.png,Thank,Thank:,False,20.0
word_8.png,you,you,True,0.0
word_9.png,Travel,Travel,True,0.0
word_10.png,Insurance,Insurance,True,0.0
word_11.png,will,ilI,False,50.0
word_12.png,protect,Pro:ect,False,28.57
word_13.png,you,y9u,False,33.33
word_14.png,and,and,True,0.0
word_15.png,your,yuI,False,50.0
word_16.png,trip,tip,False,25.0
word_17.png,from,Trom,False,25.0
word_18.png,unex-,unex-,True,0.0
word_19.png,pected,pected,True,0.0
word_20.png,problems.,probiems,False,22.22
word_21.png,Experience,Experience,True,0.0
word_22.png,this,this,True,0.0
word_23.png,Silverlight,Silverlight,True,0.0
word_24.png,Download,Donload,False,12.5
word_25.png,the,the,True,0.0
word_26.png,free,ree,False,25.0
word_27.png,plug-in,plug-in,True,0.0
word_28.png,Keep,Keep,True,0.0
word_29.png,your,your,True,0.0
word_30.png,computer,computer,True,0.0
word_31.png,date,date,True,0.0
word_32.png,FREE,REE,False,25.0
word_33.png,SECURITY,SECURlTY,False,12.5
word_34.png,DOWNLOADS,DONLOADS,False,11.11
word_35.png,AND,AND,True,0.0
word_36.png,MORE,MORE,True,0.0
word_37.png,FROM,ROM,False,25.0
word_38.png,MICROSOFT,MICROSOT,False,11.11
word_39.png,UPDATE,UPDATE,True,0.0
word_40.png,Windows,indos,False,28.57
word_41.png,Student,Student,True,0.0
word_42.png,Discount,Discount,True,0.0
word_43.png,Only,Only,True,0.0
word_44.png,$29.99*,$29.99,False,14.29
word_45.png,U.S.,"US,",False,50.0
word_46.png,only,only,True,0.0
word_47.png,Special,Special,True,0.0
word_48.png,terms,terms,True,0.0
word_49.png,apply,apply,True,0.0
word_50.png,Download,Donload,False,12.5
word_51.png,the,the,True,0.0
word_52.png,latest,latest,True,0.0
word_53.png,update,update,True,0.0
word_54.png,Microsoft,Migpsoit:,False,55.56
word_55.png,DirectX,DirectX,True,0.0
word_56.png,MixMeister,MivMeriater,False,30.0
word_57.png,ion,ken,False,66.67
word_58.png,Small,Small,True,0.0
word_59.png,Business,Business,True,0.0
word_60.png,Printing,Printing,True,0.0
word_61.png,Wiki,iki,False,25.0
word_62.png,Norton,Norton:,False,16.67
word_63.png,360,360,True,0.0
word_64.png,3.0,)-l,False,100.0
word_65.png,SMI,SMl,False,33.33
word_66.png,Discussion,Discussion,True,0.0
word_67.png,Panel,Panel,True,0.0
word_68.png,UPA,UPA,True,0.0
word_69.png,2010:,2010:,True,0.0
word_70.png,Eye,Eye,True,0.0
word_71.png,Tracking,Tracking,True,0.0
word_72.png,Meets,Meets,True,0.0
word_73.png,User,User,True,0.0
word_74.png,Experience,Experience,True,0.0
word_75.png,Usability,Usability,True,0.0
word_76.png,Professionals',Proessionals',False,7.14
word_77.png,Association,Association,True,0.0
word_78.png,International,Intemational,False,15.38
word_79.png,Conference,Conerence,False,10.0
word_80.png,"Munich,","Munich,",True,0.0
word_81.png,Germany,Germany,True,0.0
word_82.png,May,May,True,0.0
word_83.png,"24-28,","24-28,",True,0.0
word_84.png,2010,2010,True,0.0
word_85.png,Upcoming,Upcoming,True,0.0
word_86.png,Events,Evenis,False,16.67
word_87.png,Liverpool,Liverpool,True,0.0
word_88.png,Dec,Dec,True,0.0
word_89.png,Jan,an,False,33.33
word_90.png,18-19,18-19,True,0.0
word_91.png,2010,201O,False,25.0
word_92.png,Dec,Dec,True,0.0
word_93.png,11-3,11-3,True,0.0
word_94.png,Jan,an,False,33.33
word_95.png,Liverpool,Liverpool,True,0.0
word_96.png,Wigan,igan,False,20.0
word_97.png,Anfield,Anield,False,14.29
word_98.png,Strictly,Stricily,False,12.5
word_99.png,Come,Come,True,0.0
word_100.png,Dancing,Dancing,True,0.0
word_101.png,Echo,Echo,True,0.0
word_102.png,Arena,Arena,True,0.0
word_103.png,Peter,Peter,True,0.0
word_104.png,Pan,Pon,False,33.33
word_105.png,Panto,Panto,True,0.0
word_106.png,Empire,Empire,True,0.0
word_107.png,Theatre,Theaire,False,14.29
word_108.png,stayBirmingham.com,stayBimirghqucoii,False,38.89
word_109.png,Bed,Bed,True,0.0
word_110.png,Apts,Apls,False,25.0
word_111.png,From,rom,False,25.0
word_112.png,£60,B60,False,33.33
word_113.png,per,per,True,0.0
word_114.png,night,night,True,0.0
word_115.png,(sleeps,(sleeps,True,0.0
word_116.png,Bed,Bed,True,0.0
word_117.png,Apts,Apls,False,25.0
word_118.png,From,rom,False,25.0
word_119.png,£75,B75,False,33.33
word_120.png,per,per,True,0.0
word_121.png,night,night,True,0.0
word_122.png,(sleeps,(sleeps,True,0.0
word_123.png,RECEPTION,RECEPTON,False,11.11
word_124.png,24/7,24/7,True,0.0
word_125.png,SECURE,SECURE,True,0.0
word_126.png,CAR,CAR,True,0.0
word_127.png,PARKING,PARKlNG,False,14.29
word_128.png,WiFi,ii,False,50.0
word_129.png,Stay,Stay,True,0.0
word_130.png,Night,Night,True,0.0
word_131.png,more,more,True,0.0
word_132.png,Get,Get,True,0.0
word_133.png,10%,10%,True,0.0
word_134.png,Off,o#,False,100.0
word_135.png,Stay,Stay,True,0.0
word_136.png,Nights,Nighis,False,16.67
word_137.png,more,more,True,0.0
word_138.png,Get,Get,True,0.0
word_139.png,15%,15%,True,0.0
word_140.png,Off,o#,False,100.0
word_141.png,Book,Book,True,0.0
word_142.png,Now,No,False,33.33
word_143.png,Stay,Stay,True,0.0
word_144.png,Dates:,Doles:,False,33.33
word_145.png,20-25th,20-25th,True,0.0
word_146.png,Dec,Dec,True,0.0
word_147.png,2009,2009,True,0.0
word_148.png,1-14th,1-|4h,False,33.33
word_149.png,Jan,an,False,33.33
word_150.png,2010,2010,True,0.0
word_151.png,Booking,Booking,True,0.0
word_152.png,dates,dates,True,0.0
word_153.png,from,rom,False,25.0
word_154.png,now,no,False,33.33
word_155.png,until,until,True,0.0
word_156.png,Tuesday,Tuesday,True,0.0
word_157.png,22nd,22nd,True,0.0
word_158.png,MORE,MORE,True,0.0
word_159.png,HOT,HOT,True,0.0
word_160.png,DEALS,DEALS,True,0.0
word_161.png,Avalon,Avalon,True,0.0
word_162.png,Waterways,aterays,False,22.22
word_163.png,Save,Save,True,0.0
word_164.png,"$1,500","$1,500",True,0.0
word_165.png,per,per,True,0.0
word_166.png,room,room,True,0.0
word_167.png,select,select,True,0.0
word_168.png,sailings.,sailings,False,11.11
word_169.png,Valid,Valid,True,0.0
word_170.png,through,through,True,0.0
word_171.png,April,April,True,0.0
word_172.png,"30,","30,",True,0.0
word_173.png,2011.,2011.,True,0.0
word_174.png,SAVE,sAVE,False,25.0
word_175.png,SELECT,SELECT,True,0.0
word_176.png,SAILINGS!,sAILINGsI,False,33.33
word_177.png,AMA,AMA,True,0.0
word_178.png,Waterways,aterays,False,22.22
word_179.png,Free,ree,False,25.0
word_180.png,Companion,Companion,True,0.0
word_181.png,Air,Air,True,0.0
word_182.png,Balcony,Balcony,True,0.0
word_183.png,Upgrade,Upgrade,True,0.0
